[00:00:10.076] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_7, Total msg: 300
[00:00:10.076] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_7, Total msg: 300
[00:00:10.076] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_7, Total msg: 300
[00:00:10.076] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_7, Total msg: 300
[00:00:10.087] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_8, Total msg: 300
[00:00:10.087] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_8, Total msg: 300
[00:00:10.087] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_8, Total msg: 300
[00:00:10.088] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_8, Total msg: 300
[00:00:10.088] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_8, Total msg: 300
[00:00:10.089] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_8, Total msg: 300
[00:00:10.089] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_8, Total msg: 300
[00:00:10.089] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_8, Total msg: 300
[00:00:10.089] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_8, Total msg: 300
[00:00:10.089] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_8, Total msg: 300
[00:00:10.100] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_9, Total msg: 300
[00:00:10.101] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_9, Total msg: 300
[00:00:10.101] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_9, Total msg: 300
[00:00:10.101] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_9, Total msg: 300
[00:00:10.101] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_9, Total msg: 300
[00:00:10.101] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_9, Total msg: 300
[00:00:10.101] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_9, Total msg: 300
[00:00:10.101] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_9, Total msg: 300
[00:00:10.102] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_9, Total msg: 300
[00:00:10.102] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_9, Total msg: 300
[00:00:10.113] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_10, Total msg: 300
[00:00:10.113] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_10, Total msg: 300
[00:00:10.113] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_10, Total msg: 300
[00:00:10.113] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_10, Total msg: 300
[00:00:10.113] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_10, Total msg: 300
